Payer Name,Payer ID,Batch ID,Payment Date,Upload Date,Payment #,Payment Method,Tax Id,NPI #,Provider Name,Total Charge,Total Pay,Documents,835 Retrieval,Work Status
SENIOR WHOLE HEALTH,83035,1543749904,5/13/2020,5/14/2020,081000600036095,ACH,300964826,1780123364,SARAH CARE USA,"$11,957.40 ","$11,957.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1545619784,5/21/2020,5/22/2020,081000600121106,ACH,300964826,1780123364,SARAH CARE USA,"$11,957.40 ","$11,939.85 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1547272651,5/28/2020,5/29/2020,081000600181565,ACH,300964826,1780123364,SARAH CARE USA,"$11,957.40 ","$11,957.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1548819958,6/3/2020,6/4/2020,081000600238994,ACH,300964826,1780123364,SARAH CARE USA,"$11,887.20 ","$11,887.20 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1550836830,6/10/2020,6/11/2020,081000600310331,ACH,300964826,1780123364,SARAH CARE USA,"$10,062.00 ","$10,062.00 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1552766010,6/17/2020,6/18/2020,081000600385874,ACH,300964826,1780123364,SARAH CARE USA,"$11,793.60 ","$11,793.60 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1554895066,6/24/2020,6/25/2020,081000600470809,ACH,300964826,1780123364,SARAH CARE USA,"$3,416.40 ","$3,562.65 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1556894532,7/1/2020,7/2/2020,081000600549491,ACH,300964826,1780123364,SARAH CARE USA,$0.00 ,$128.70 ,Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1559381910,7/9/2020,7/10/2020,081000600643441,ACH,300964826,1780123364,SARAH CARE USA,"$27,775.80 ","$27,775.80 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1560940313,7/15/2020,7/16/2020,081000600710743,ACH,300964826,1780123364,SARAH CARE USA,"$10,319.40 ","$10,319.40 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1562986038,7/22/2020,7/23/2020,081000600786936,ACH,300964826,1780123364,SARAH CARE USA,"$10,038.60 ","$10,021.05 ",Not Printed,Retrieved,Unworked
SENIOR WHOLE HEALTH,83035,1565115709,7/29/2020,7/30/2020,081000600869139,ACH,300964826,1780123364,SARAH CARE USA,"$9,734.40 ","$9,716.85 ",Not Printed,Retrieved,Unworked
